year,company,provider,e_score,s_score,g_score
2001,Airbus SE,Arabesque,0.39,0.51,0.36
2002,Airbus SE,Arabesque,0.42,0.4,0.34
2003,Airbus SE,Arabesque,0.35,0.41,0.33
2004,Airbus SE,Arabesque,0.49,0.38,0.42
2005,Airbus SE,Arabesque,0.43,0.35,0.47
2006,Airbus SE,Arabesque,0.36,0.47,0.36
2007,Airbus SE,Arabesque,0.38,0.35,0.42
2008,Airbus SE,Arabesque,0.35,0.51,0.46
2009,Airbus SE,Arabesque,0.51,0.35,0.45
2010,Airbus SE,Arabesque,0.44,0.5,0.38
2011,Airbus SE,Arabesque,0.34,0.48,0.51
2012,Airbus SE,Arabesque,0.39,0.43,0.4
2013,Airbus SE,Arabesque,0.39,0.48,0.51
2014,Airbus SE,Arabesque,0.4,0.45,0.47
2015,Airbus SE,Arabesque,0.36,0.37,0.5
2016,Airbus SE,Arabesque,0.44,0.45,0.39
2017,Airbus SE,Arabesque,0.45,0.41,0.49
2018,Airbus SE,Arabesque,0.51,0.48,0.43
2019,Airbus SE,Arabesque,0.38,0.51,0.33
2020,Airbus SE,Arabesque,0.51,0.4,0.34
2000,ThyssenKrupp Ag,Provider,0.62,0.52,0.65
2001,ThyssenKrupp Ag,Provider,0.56,0.63,0.49
2002,ThyssenKrupp Ag,Provider,0.69,0.55,0.51
2003,ThyssenKrupp Ag,Provider,0.55,0.57,0.63
2004,ThyssenKrupp Ag,Provider,0.53,0.63,0.68
2005,ThyssenKrupp Ag,Provider,0.6,0.66,0.65
2006,ThyssenKrupp Ag,Provider,0.67,0.69,0.63
2007,ThyssenKrupp Ag,Provider,0.64,0.54,0.53
2008,ThyssenKrupp Ag,Provider,0.63,0.68,0.69
2009,ThyssenKrupp Ag,Provider,0.66,0.56,0.63
2010,ThyssenKrupp Ag,Provider,0.61,0.67,0.5
2011,ThyssenKrupp Ag,Provider,0.56,0.67,0.52
2012,ThyssenKrupp Ag,Provider,0.51,0.53,0.51
2013,ThyssenKrupp Ag,Provider,0.67,0.51,0.6
2014,ThyssenKrupp Ag,Provider,0.59,0.49,0.56
2015,ThyssenKrupp Ag,Provider,0.65,0.6,0.6
2016,ThyssenKrupp Ag,Provider,0.54,0.59,0.62
2017,ThyssenKrupp Ag,Provider,0.53,0.58,0.69
2018,ThyssenKrupp Ag,Provider,0.54,0.65,0.5
2019,ThyssenKrupp Ag,Provider,0.5,0.66,0.49
2020,ThyssenKrupp Ag,Provider,0.57,0.61,0.51
2000,ThyssenKrupp Ag,MSCI,0.71,0.69,0.75
2001,ThyssenKrupp Ag,MSCI,0.66,0.67,0.76
2002,ThyssenKrupp Ag,MSCI,0.73,0.82,0.63
2003,ThyssenKrupp Ag,MSCI,0.74,0.75,0.71
2004,ThyssenKrupp Ag,MSCI,0.75,0.66,0.64
2005,ThyssenKrupp Ag,MSCI,0.75,0.79,0.79
2006,ThyssenKrupp Ag,MSCI,0.72,0.68,0.75
2007,ThyssenKrupp Ag,MSCI,0.75,0.67,0.64
2008,ThyssenKrupp Ag,MSCI,0.83,0.77,0.72
2009,ThyssenKrupp Ag,MSCI,0.8,0.82,0.73
2010,ThyssenKrupp Ag,MSCI,0.64,0.73,0.74
2011,ThyssenKrupp Ag,MSCI,0.7,0.64,0.75
2012,ThyssenKrupp Ag,MSCI,0.76,0.83,0.66
2013,ThyssenKrupp Ag,MSCI,0.72,0.79,0.65
2014,ThyssenKrupp Ag,MSCI,0.72,0.79,0.63
2015,ThyssenKrupp Ag,MSCI,0.63,0.81,0.83
2016,ThyssenKrupp Ag,MSCI,0.73,0.65,0.74
2017,ThyssenKrupp Ag,MSCI,0.68,0.73,0.81
2018,ThyssenKrupp Ag,MSCI,0.63,0.83,0.72
2019,ThyssenKrupp Ag,MSCI,0.76,0.81,0.8
2020,ThyssenKrupp Ag,MSCI,0.7,0.69,0.73
2000,ThyssenKrupp Ag,Sustainalytics,0.59,0.58,0.63
2001,ThyssenKrupp Ag,Sustainalytics,0.54,0.53,0.51
2002,ThyssenKrupp Ag,Sustainalytics,0.54,0.67,0.59
2003,ThyssenKrupp Ag,Sustainalytics,0.67,0.65,0.51
2004,ThyssenKrupp Ag,Sustainalytics,0.66,0.62,0.59
2005,ThyssenKrupp Ag,Sustainalytics,0.54,0.66,0.6
2006,ThyssenKrupp Ag,Sustainalytics,0.62,0.52,0.57
2007,ThyssenKrupp Ag,Sustainalytics,0.56,0.57,0.62
2008,ThyssenKrupp Ag,Sustainalytics,0.53,0.55,0.55
2009,ThyssenKrupp Ag,Sustainalytics,0.61,0.57,0.6
2010,ThyssenKrupp Ag,Sustainalytics,0.66,0.64,0.58
2011,ThyssenKrupp Ag,Sustainalytics,0.59,0.66,0.5
2012,ThyssenKrupp Ag,Sustainalytics,0.58,0.51,0.63
2013,ThyssenKrupp Ag,Sustainalytics,0.6,0.62,0.49
2014,ThyssenKrupp Ag,Sustainalytics,0.67,0.51,0.58
2015,ThyssenKrupp Ag,Sustainalytics,0.59,0.67,0.67
2016,ThyssenKrupp Ag,Sustainalytics,0.51,0.67,0.65
2017,ThyssenKrupp Ag,Sustainalytics,0.51,0.57,0.48
2018,ThyssenKrupp Ag,Sustainalytics,0.61,0.53,0.58
2019,ThyssenKrupp Ag,Sustainalytics,0.65,0.55,0.51
2020,ThyssenKrupp Ag,Sustainalytics,0.63,0.67,0.64
2000,ThyssenKrupp Ag,Bloomberg,0.68,0.66,0.62
2001,ThyssenKrupp Ag,Bloomberg,0.49,0.59,0.68
2002,ThyssenKrupp Ag,Bloomberg,0.67,0.65,0.52
2003,ThyssenKrupp Ag,Bloomberg,0.51,0.64,0.64
2004,ThyssenKrupp Ag,Bloomberg,0.53,0.67,0.52
2005,ThyssenKrupp Ag,Bloomberg,0.53,0.59,0.66
2006,ThyssenKrupp Ag,Bloomberg,0.6,0.55,0.61
2007,ThyssenKrupp Ag,Bloomberg,0.51,0.5,0.56
2008,ThyssenKrupp Ag,Bloomberg,0.68,0.67,0.58
2009,ThyssenKrupp Ag,Bloomberg,0.56,0.51,0.55
2010,ThyssenKrupp Ag,Bloomberg,0.51,0.52,0.64
2011,ThyssenKrupp Ag,Bloomberg,0.51,0.64,0.54
2012,ThyssenKrupp Ag,Bloomberg,0.58,0.51,0.52
2013,ThyssenKrupp Ag,Bloomberg,0.5,0.63,0.56
2014,ThyssenKrupp Ag,Bloomberg,0.68,0.51,0.5
2015,ThyssenKrupp Ag,Bloomberg,0.54,0.61,0.68
2016,ThyssenKrupp Ag,Bloomberg,0.61,0.61,0.49
2017,ThyssenKrupp Ag,Bloomberg,0.48,0.64,0.57
2018,ThyssenKrupp Ag,Bloomberg,0.66,0.53,0.68
2019,ThyssenKrupp Ag,Bloomberg,0.56,0.56,0.55
2020,ThyssenKrupp Ag,Bloomberg,0.5,0.65,0.54
2000,ThyssenKrupp Ag,ISS ESG,0.66,0.54,0.62
2001,ThyssenKrupp Ag,ISS ESG,0.6,0.6,0.61
2002,ThyssenKrupp Ag,ISS ESG,0.56,0.6,0.53
2003,ThyssenKrupp Ag,ISS ESG,0.51,0.63,0.52
2004,ThyssenKrupp Ag,ISS ESG,0.56,0.57,0.64
2005,ThyssenKrupp Ag,ISS ESG,0.6,0.62,0.63
2006,ThyssenKrupp Ag,ISS ESG,0.61,0.67,0.6
2007,ThyssenKrupp Ag,ISS ESG,0.55,0.58,0.55
2008,ThyssenKrupp Ag,ISS ESG,0.56,0.65,0.58
2009,ThyssenKrupp Ag,ISS ESG,0.57,0.61,0.67
2010,ThyssenKrupp Ag,ISS ESG,0.61,0.58,0.68
2011,ThyssenKrupp Ag,ISS ESG,0.57,0.56,0.64
2012,ThyssenKrupp Ag,ISS ESG,0.62,0.54,0.49
2013,ThyssenKrupp Ag,ISS ESG,0.57,0.51,0.62
2014,ThyssenKrupp Ag,ISS ESG,0.56,0.68,0.51
2015,ThyssenKrupp Ag,ISS ESG,0.51,0.57,0.66
2016,ThyssenKrupp Ag,ISS ESG,0.59,0.69,0.6
2017,ThyssenKrupp Ag,ISS ESG,0.51,0.66,0.59
2018,ThyssenKrupp Ag,ISS ESG,0.66,0.66,0.64
2019,ThyssenKrupp Ag,ISS ESG,0.59,0.64,0.66
2020,ThyssenKrupp Ag,ISS ESG,0.58,0.67,0.53
2000,ThyssenKrupp Ag,V.E,0.76,0.71,0.66
2001,ThyssenKrupp Ag,V.E,0.71,0.69,0.79
2002,ThyssenKrupp Ag,V.E,0.69,0.7,0.65
2003,ThyssenKrupp Ag,V.E,0.69,0.82,0.78
2004,ThyssenKrupp Ag,V.E,0.67,0.66,0.71
2005,ThyssenKrupp Ag,V.E,0.77,0.78,0.77
2006,ThyssenKrupp Ag,V.E,0.71,0.79,0.78
2007,ThyssenKrupp Ag,V.E,0.73,0.76,0.82
2008,ThyssenKrupp Ag,V.E,0.67,0.78,0.77
2009,ThyssenKrupp Ag,V.E,0.71,0.65,0.8
2010,ThyssenKrupp Ag,V.E,0.8,0.72,0.69
2011,ThyssenKrupp Ag,V.E,0.75,0.65,0.62
2012,ThyssenKrupp Ag,V.E,0.66,0.71,0.76
2013,ThyssenKrupp Ag,V.E,0.7,0.75,0.64
2014,ThyssenKrupp Ag,V.E,0.78,0.64,0.73
2015,ThyssenKrupp Ag,V.E,0.77,0.65,0.8
2016,ThyssenKrupp Ag,V.E,0.81,0.74,0.68
2017,ThyssenKrupp Ag,V.E,0.75,0.62,0.67
2018,ThyssenKrupp Ag,V.E,0.62,0.72,0.72
2019,ThyssenKrupp Ag,V.E,0.75,0.82,0.78
2020,ThyssenKrupp Ag,V.E,0.75,0.67,0.8
2000,ThyssenKrupp Ag,Refinitiv,0.6,0.57,0.74
2001,ThyssenKrupp Ag,Refinitiv,0.62,0.7,0.65
2002,ThyssenKrupp Ag,Refinitiv,0.69,0.66,0.71
2003,ThyssenKrupp Ag,Refinitiv,0.68,0.74,0.63
2004,ThyssenKrupp Ag,Refinitiv,0.55,0.6,0.65
2005,ThyssenKrupp Ag,Refinitiv,0.59,0.62,0.67
2006,ThyssenKrupp Ag,Refinitiv,0.69,0.62,0.71
2007,ThyssenKrupp Ag,Refinitiv,0.74,0.62,0.72
2008,ThyssenKrupp Ag,Refinitiv,0.67,0.69,0.55
2009,ThyssenKrupp Ag,Refinitiv,0.66,0.56,0.75
2010,ThyssenKrupp Ag,Refinitiv,0.64,0.62,0.57
2011,ThyssenKrupp Ag,Refinitiv,0.55,0.73,0.56
2012,ThyssenKrupp Ag,Refinitiv,0.7,0.75,0.75
2013,ThyssenKrupp Ag,Refinitiv,0.71,0.63,0.64
2014,ThyssenKrupp Ag,Refinitiv,0.72,0.64,0.74
2015,ThyssenKrupp Ag,Refinitiv,0.64,0.66,0.74
2016,ThyssenKrupp Ag,Refinitiv,0.65,0.59,0.67
2017,ThyssenKrupp Ag,Refinitiv,0.68,0.75,0.6
2018,ThyssenKrupp Ag,Refinitiv,0.62,0.57,0.66
2019,ThyssenKrupp Ag,Refinitiv,0.62,0.65,0.68
2020,ThyssenKrupp Ag,Refinitiv,0.65,0.59,0.67
2000,ThyssenKrupp Ag,CDP,0.51,0.61,0.57
2001,ThyssenKrupp Ag,CDP,0.53,0.5,0.52
2002,ThyssenKrupp Ag,CDP,0.64,0.63,0.57
2003,ThyssenKrupp Ag,CDP,0.46,0.59,0.5
2004,ThyssenKrupp Ag,CDP,0.6,0.52,0.48
2005,ThyssenKrupp Ag,CDP,0.51,0.63,0.44
2006,ThyssenKrupp Ag,CDP,0.63,0.5,0.6
2007,ThyssenKrupp Ag,CDP,0.51,0.6,0.62
2008,ThyssenKrupp Ag,CDP,0.44,0.46,0.53
2009,ThyssenKrupp Ag,CDP,0.52,0.53,0.57
2010,ThyssenKrupp Ag,CDP,0.47,0.48,0.62
2011,ThyssenKrupp Ag,CDP,0.58,0.49,0.58
2012,ThyssenKrupp Ag,CDP,0.59,0.64,0.48
2013,ThyssenKrupp Ag,CDP,0.5,0.48,0.52
2014,ThyssenKrupp Ag,CDP,0.45,0.44,0.54
2015,ThyssenKrupp Ag,CDP,0.55,0.44,0.52
2016,ThyssenKrupp Ag,CDP,0.57,0.55,0.54
2017,ThyssenKrupp Ag,CDP,0.58,0.64,0.62
2018,ThyssenKrupp Ag,CDP,0.46,0.51,0.54
2019,ThyssenKrupp Ag,CDP,0.49,0.63,0.54
2020,ThyssenKrupp Ag,CDP,0.48,0.6,0.53
2000,ThyssenKrupp Ag,Arabesque,0.58,0.5,0.54
2001,ThyssenKrupp Ag,Arabesque,0.56,0.5,0.54
2002,ThyssenKrupp Ag,Arabesque,0.54,0.51,0.51
2003,ThyssenKrupp Ag,Arabesque,0.53,0.59,0.5
2004,ThyssenKrupp Ag,Arabesque,0.66,0.68,0.58
2005,ThyssenKrupp Ag,Arabesque,0.62,0.56,0.6
2006,ThyssenKrupp Ag,Arabesque,0.6,0.59,0.53
2007,ThyssenKrupp Ag,Arabesque,0.55,0.62,0.49
2008,ThyssenKrupp Ag,Arabesque,0.61,0.51,0.58
2009,ThyssenKrupp Ag,Arabesque,0.59,0.64,0.61
2010,ThyssenKrupp Ag,Arabesque,0.48,0.49,0.68
2011,ThyssenKrupp Ag,Arabesque,0.55,0.57,0.51
2012,ThyssenKrupp Ag,Arabesque,0.67,0.67,0.6
2013,ThyssenKrupp Ag,Arabesque,0.5,0.63,0.55
2014,ThyssenKrupp Ag,Arabesque,0.63,0.48,0.63
2015,ThyssenKrupp Ag,Arabesque,0.59,0.56,0.68
2016,ThyssenKrupp Ag,Arabesque,0.63,0.59,0.51
2017,ThyssenKrupp Ag,Arabesque,0.6,0.65,0.58
2018,ThyssenKrupp Ag,Arabesque,0.56,0.67,0.67
2019,ThyssenKrupp Ag,Arabesque,0.6,0.55,0.64
2020,ThyssenKrupp Ag,Arabesque,0.68,0.53,0.59
2000,BAE Systems Plc,Provider,0.52,0.37,0.55
2001,BAE Systems Plc,Provider,0.37,0.55,0.41
2002,BAE Systems Plc,Provider,0.4,0.44,0.51
2003,BAE Systems Plc,Provider,0.38,0.42,0.4
2004,BAE Systems Plc,Provider,0.53,0.46,0.48
2005,BAE Systems Plc,Provider,0.48,0.38,0.35
2006,BAE Systems Plc,Provider,0.39,0.37,0.38
2007,BAE Systems Plc,Provider,0.46,0.48,0.47
2008,BAE Systems Plc,Provider,0.45,0.53,0.46
2009,BAE Systems Plc,Provider,0.35,0.36,0.41
2010,BAE Systems Plc,Provider,0.52,0.53,0.37
2011,BAE Systems Plc,Provider,0.48,0.45,0.54
2012,BAE Systems Plc,Provider,0.36,0.39,0.39
2013,BAE Systems Plc,Provider,0.41,0.39,0.46
2014,BAE Systems Plc,Provider,0.5,0.52,0.4
2015,BAE Systems Plc,Provider,0.54,0.49,0.44
2016,BAE Systems Plc,Provider,0.51,0.35,0.39
2017,BAE Systems Plc,Provider,0.46,0.53,0.54
2018,BAE Systems Plc,Provider,0.45,0.41,0.4
2019,BAE Systems Plc,Provider,0.43,0.51,0.36
2020,BAE Systems Plc,Provider,0.48,0.47,0.45
2000,BAE Systems Plc,MSCI,0.5,0.39,0.46
2001,BAE Systems Plc,MSCI,0.58,0.52,0.41
2002,BAE Systems Plc,MSCI,0.53,0.47,0.43
2003,BAE Systems Plc,MSCI,0.46,0.55,0.46
2004,BAE Systems Plc,MSCI,0.58,0.43,0.48
2005,BAE Systems Plc,MSCI,0.52,0.47,0.53
2006,BAE Systems Plc,MSCI,0.57,0.56,0.54
2007,BAE Systems Plc,MSCI,0.5,0.52,0.43
2008,BAE Systems Plc,MSCI,0.48,0.4,0.42
2009,BAE Systems Plc,MSCI,0.42,0.59,0.44
2010,BAE Systems Plc,MSCI,0.57,0.4,0.39
2011,BAE Systems Plc,MSCI,0.49,0.45,0.4
2012,BAE Systems Plc,MSCI,0.59,0.51,0.59
2013,BAE Systems Plc,MSCI,0.43,0.53,0.49
2014,BAE Systems Plc,MSCI,0.43,0.57,0.5
2015,BAE Systems Plc,MSCI,0.5,0.42,0.44
2016,BAE Systems Plc,MSCI,0.39,0.49,0.5
2017,BAE Systems Plc,MSCI,0.49,0.42,0.57
2018,BAE Systems Plc,MSCI,0.58,0.5,0.43
2019,BAE Systems Plc,MSCI,0.55,0.41,0.41
2020,BAE Systems Plc,MSCI,0.52,0.39,0.53
2000,BAE Systems Plc,Sustainalytics,0.27,0.35,0.42
2001,BAE Systems Plc,Sustainalytics,0.35,0.32,0.29
2002,BAE Systems Plc,Sustainalytics,0.46,0.3,0.42
2003,BAE Systems Plc,Sustainalytics,0.29,0.37,0.29
2004,BAE Systems Plc,Sustainalytics,0.47,0.43,0.31
2005,BAE Systems Plc,Sustainalytics,0.47,0.32,0.38
2006,BAE Systems Plc,Sustainalytics,0.28,0.28,0.36
2007,BAE Systems Plc,Sustainalytics,0.27,0.37,0.27
2008,BAE Systems Plc,Sustainalytics,0.45,0.42,0.46
2009,BAE Systems Plc,Sustainalytics,0.45,0.45,0.46
2010,BAE Systems Plc,Sustainalytics,0.4,0.33,0.32
2011,BAE Systems Plc,Sustainalytics,0.32,0.45,0.45
2012,BAE Systems Plc,Sustainalytics,0.36,0.31,0.41
2013,BAE Systems Plc,Sustainalytics,0.42,0.41,0.33
2014,BAE Systems Plc,Sustainalytics,0.35,0.44,0.33
2015,BAE Systems Plc,Sustainalytics,0.45,0.38,0.33
2016,BAE Systems Plc,Sustainalytics,0.29,0.29,0.4
2017,BAE Systems Plc,Sustainalytics,0.31,0.39,0.47
2018,BAE Systems Plc,Sustainalytics,0.31,0.29,0.34
2019,BAE Systems Plc,Sustainalytics,0.36,0.44,0.3
2020,BAE Systems Plc,Sustainalytics,0.27,0.31,0.47
2000,BAE Systems Plc,Bloomberg,0.39,0.51,0.55
2001,BAE Systems Plc,Bloomberg,0.45,0.5,0.53
2002,BAE Systems Plc,Bloomberg,0.48,0.47,0.47
2003,BAE Systems Plc,Bloomberg,0.51,0.54,0.56
2004,BAE Systems Plc,Bloomberg,0.38,0.57,0.38
2005,BAE Systems Plc,Bloomberg,0.56,0.46,0.38
2006,BAE Systems Plc,Bloomberg,0.54,0.54,0.5
2007,BAE Systems Plc,Bloomberg,0.5,0.37,0.52
2008,BAE Systems Plc,Bloomberg,0.5,0.43,0.49
2009,BAE Systems Plc,Bloomberg,0.46,0.55,0.49
2010,BAE Systems Plc,Bloomberg,0.39,0.54,0.39
2011,BAE Systems Plc,Bloomberg,0.51,0.43,0.5
2012,BAE Systems Plc,Bloomberg,0.4,0.43,0.53
2013,BAE Systems Plc,Bloomberg,0.38,0.53,0.4
2014,BAE Systems Plc,Bloomberg,0.57,0.55,0.47
2015,BAE Systems Plc,Bloomberg,0.37,0.41,0.48
2016,BAE Systems Plc,Bloomberg,0.38,0.38,0.5
2017,BAE Systems Plc,Bloomberg,0.54,0.55,0.4
2018,BAE Systems Plc,Bloomberg,0.5,0.56,0.39
2019,BAE Systems Plc,Bloomberg,0.51,0.45,0.42
2020,BAE Systems Plc,Bloomberg,0.51,0.53,0.56
2000,BAE Systems Plc,ISS ESG,0.52,0.47,0.38
2001,BAE Systems Plc,ISS ESG,0.5,0.49,0.5
2002,BAE Systems Plc,ISS ESG,0.5,0.37,0.56
2003,BAE Systems Plc,ISS ESG,0.55,0.39,0.42
2004,BAE Systems Plc,ISS ESG,0.4,0.53,0.42
2005,BAE Systems Plc,ISS ESG,0.57,0.57,0.47
2006,BAE Systems Plc,ISS ESG,0.48,0.57,0.39
2007,BAE Systems Plc,ISS ESG,0.46,0.41,0.55
